rank,dead,online,name,level,class,id,experience,account,challenges,twitch,ladder
1,FALSE,FALSE,Tzn_NecroIsFineNow,100,Necromancer,3dcddd59f5088893f734f39686350990dae168cc4f4b0030f17c75298730e754,4250334444,TheTzn,40,thetzn,Harbinger
1,FALSE,FALSE,RaizNeverFirstQT,100,Necromancer,8f3216db5ac9106c287a834731aafc83c387138f28fc45db23afdd371ba8165b,4250334444,RaizQT,22,raizqt,SSF Harbinger HC
1,FALSE,FALSE,GucciStreamerAdvantage,100,Necromancer,c6ec2dae3855c551e0597c06ef2da06fbb5512487ded7f2cdf72c93336f3ef2e,4250334444,GucciPradas,35,guccipradas,Hardcore Harbinger
1,FALSE,FALSE,ChiroxPrime,100,Slayer,c861372da792be0b22c45bf437ccd58437c52e9455e0bfd6a823164c701b092a,4250334444,Chiroxun,26,null,SSF Harbinger
2,FALSE,FALSE,Cool_NecroIsFineNow,100,Deadeye,24ae924ceed7989ef3d3d6772612832bb467a6094352c76be7be2b8a4a0fc5d0,4250334444,cooltail,22,null,Harbinger
2,FALSE,FALSE,SteelStreamerAdvantage,100,Deadeye,51acb8e6fac3cfaa7ff848151dad01b0a6f350e7525543d5ff3a3061dc1d7f72,4250334444,Steelmage,37,steelmage202,Hardcore Harbinger
2,FALSE,FALSE,Grom_WhyGodThreeCmWhy,100,Gladiator,5d8b80b2bdd30f3dba1036a6791187562758935e8d4723a6345fa847f7794d93,4250334444,rocklegend,22,gromick,SSF Harbinger HC
2,FALSE,FALSE,beobio_capitan,100,Inquisitor,65c58f9b186e1fbe9f927484f3f178cdb9ee0dc2427289da52128d779247e358,4250334444,TishaVosemsot,40,beobio,SSF Harbinger
3,FALSE,FALSE,Rami_The_Negromaniac,100,Necromancer,00c0030fc548cc4c0d804564f8fb356610044b7e6d484fbe70ebf522e4b7d71c,4250334444,rami1337,40,rami1337,Harbinger
3,FALSE,FALSE,FutonBlewAway,100,Raider,46e56572ff6e403f45fac597240e13e9af225f06ca4e52da7d4b451e8a6c0ffd,4250334444,pleaGRC,40,null,SSF Harbinger
3,FALSE,FALSE,YovuStreamerAdvantage,100,Champion,9956e628b68887b2c33f430d1cff3736da0bb6e2aac2b6c2f0317ccd0bfb6bca,4250334444,Yovu,32,yovu,Hardcore Harbinger
3,FALSE,FALSE,ShiruHBSSF,100,Slayer,b0cf3e837984f7f9c8e00d0b29d1e5670c88e045daf185f84cf0cb31d6c2e603,4250334444,shirusen,23,null,SSF Harbinger HC
4,FALSE,FALSE,Havoc_KAPOW,100,Inquisitor,106abe85e0bda651fdab9b265eff93b4bf47d78d5ebf81ac6d0bb95287a409ad,4250334444,Havoc6,25,havoc616,Hardcore Harbinger
4,FALSE,FALSE,Guraj_NecroIsFineNow,100,Raider,34bedf0408f53151dcc31eb43c3bd10a9fb0d7ba32b95b06708aeded16a9a8f2,4250334444,Guraj93,24,guraj_hots,Harbinger
4,FALSE,FALSE,Kinther,100,Gladiator,aea0afdd0b84cec8418b4228345526304048cbdaf1d902b45ffaaf07457d4f16,4250334444,nehxzel,35,null,SSF Harbinger
4,TRUE,FALSE,Dev_XD,100,Raider,dae26ebd7582552ba5330897c98409644cbbd35d3a879cb705985536d5e55be7,4250334444,Develina,40,null,SSF Harbinger HC
5,FALSE,FALSE,TWITCHTV_TARKECAT,100,Slayer,30208acbf537304cf18efe02dc624f55278acd99e4ee45a019ab14d6ad36b1f8,4250334444,Kanelol,31,kanelife,Hardcore Harbinger
5,FALSE,FALSE,ToTheHeartache,100,Inquisitor,ac9f63212fe2eb3be803fe3b5c4bab2643dcdf1be9a1b7c6775a6bed0ab44438,4250334444,Realyn,38,nyylaer,SSF Harbinger HC
5,FALSE,FALSE,Ryphe,100,Occultist,b6387a6be18939980798db2ec8e8a2924027fa803e063a54ca3600c5d02b9b6e,4250334444,Ryphe,40,rypherious,Harbinger
